Designator,Mid X,Mid Y,Rotation,Layer
BT1,125.825,-104.55,0.0,top
C1,127.875,-120.205,90.0,bottom
C2,128.875,-120.205,90.0,bottom
C3,128.4,-117.2875,90.0,bottom
C4,116.55,-121.525,0.0,bottom
C5,123.0125,-120.575,0.0,bottom
D1,105.175,-104.2125,270.0,bottom
D2,110.175,-103.5,90.0,bottom
J1,107.675,-103.395,270.0,bottom
Q1,117.075,-102.35,270.0,bottom
R1,105.215,-101.0,180.0,bottom
R2,112.075,-105.9,90.0,bottom
R3,112.075,-101.34,90.0,bottom
R4,117.25,-113.51,270.0,bottom
R5,118.35,-113.51,270.0,bottom
R6,119.45,-113.51,270.0,bottom
R7,120.55,-113.51,270.0,bottom
R8,121.67,-113.51,270.0,bottom
R9,126.5,-116.66,90.0,bottom
S1,109.35,-118.95,180.0,bottom
SW1,107.45,-118.45,90.0,top
SW2,113.45,-118.45,90.0,top
SW3,119.45,-118.45,90.0,top
SW4,125.45,-118.45,90.0,top
SW5,131.45,-118.45,90.0,top
U1,132.14,-117.85,180.0,bottom
